Area Name,Year,Jobs,% Change from 2005,Earnings Per Worker,Establishments
Kentucky,2005,262117.4633,,56923.12239,4656.450948
Kentucky,2006,260899.9569,,57656.84354,4723.966072
Kentucky,2007,255293.9181,,59482.50951,4729.000979
Kentucky,2008,245206.6723,,60707.6071,4611.000474
Kentucky,2009,213308.2652,,60998.16176,4478.000403
Kentucky,2010,209129.7078,,63307.31936,4422.000827
Kentucky,2011,212496.4536,,65189.81561,4244
Kentucky,2012,222962.3584,,66975.63169,4223
Kentucky,2013,228351.5405,,67361.35271,4306
Kentucky,2014,234655.3866,,69159.90156,4478
Kentucky,2015,241344.6622,,71299.09951,4509
Kentucky,2016,248060.8047,,71330.80819,4509
Kentucky,2017,250180.4162,,72705.94376,4392
Kentucky,2018,251044.5555,,73871.29223,4452
Kentucky,2019,254791.5902,,,
Kentucky,2020,257184.8986,,,
Kentucky,2021,258631.2014,,,
Kentucky,2022,259378.1236,,,
Kentucky,2023,258283.4113,,,
Kentucky,2024,258553.2099,,,
Virginia,2005,295716.936,,54941.16583,6178.395469
Virginia,2006,288270.0678,,56357.622,6124.407599
Virginia,2007,278748.9686,,59726.18537,6182.001904
Virginia,2008,264948.1587,,60913.71706,6353.000497
Virginia,2009,238848.5426,,62528.26887,6316.000305
Virginia,2010,229866.9231,,64870.12263,6258.000774
Virginia,2011,230202.5524,,65113.24115,6142
Virginia,2012,231072.7731,,66564.14558,6097
Virginia,2013,230777.5717,,67804.69219,5992
Virginia,2014,231421.5821,,70387.60847,6038
Virginia,2015,232652.1982,,72437.98981,6251
Virginia,2016,231148.5085,,70240.60394,6454
Virginia,2017,232927.3305,,72181.49593,6556
Virginia,2018,236841.6666,,73981.92547,6678
Virginia,2019,239756.2444,,,
Virginia,2020,241594.0333,,,
Virginia,2021,242677.1738,,,
Virginia,2022,243201.6815,,,
Virginia,2023,242248.2053,,,
Virginia,2024,242469.4255,,,
